"stock_id","time_stamp","open","high","low","last","volume"
"0","2019-05-24 08:34:00+00","595.57","595.572","595.57","595.572",0
"0","2019-05-24 08:35:00+00","595.65","595.65","595.65","595.65",0
"0","2019-05-24 08:36:00+00","595.636","595.64","595.636","595.64",0
"0","2019-05-24 08:37:00+00","595.71","595.71","595.707","595.707",0
"0","2019-05-24 08:38:00+00","595.71","595.71","595.71","595.71",0
"0","2019-05-24 08:39:00+00","595.819","595.93","595.819","595.93",0
"0","2019-05-24 08:41:00+00","596.18","596.18","596.18","596.18",0
"0","2019-05-24 08:42:00+00","596.242","596.242","596.24","596.24",0
"0","2019-05-24 08:43:00+00","596.14","596.14","596.138","596.138",0
"0","2019-05-24 08:44:00+00","596.16","596.16","596.158","596.158",0
"0","2019-05-24 08:45:00+00","596.15","596.15","596.149","596.149",0
"0","2019-05-24 08:46:00+00","596.09","596.091","596.09","596.091",0
"0","2019-05-24 08:47:00+00","596.06","596.06","596.056","596.056",0
"0","2019-05-24 08:48:00+00","595.92","595.92","595.916","595.916",0
"0","2019-05-24 08:49:00+00","595.851","595.851","595.76","595.761",0
"0","2019-05-24 08:51:00+00","595.79","595.794","595.79","595.794",0
"0","2019-05-24 08:52:00+00","595.71","595.714","595.71","595.714",0
"0","2019-05-24 08:53:00+00","595.53","595.53","595.528","595.528",0
"0","2019-05-24 08:54:00+00","595.43","595.43","595.43","595.43",0
"0","2019-05-24 08:55:00+00","595.38","595.382","595.38","595.382",0
"0","2019-05-24 08:56:00+00","595.469","595.47","595.469","595.47",0
"0","2019-05-24 08:57:00+00","595.45","595.451","595.45","595.451",0
"0","2019-05-24 08:58:00+00","595.42","595.425","595.42","595.425",0
"0","2019-05-24 08:59:00+00","595.29","595.29","595.289","595.289",0
"0","2019-05-24 09:00:00+00","595.32","595.322","595.32","595.322",0
"0","2019-05-24 09:01:00+00","595.28","595.28","595.278","595.278",0
"0","2019-05-24 09:02:00+00","595.08","595.085","595.08","595.085",0
"0","2019-05-24 09:03:00+00","594.98","594.985","594.98","594.985",0
"0","2019-05-24 09:04:00+00","594.997","595","594.997","595",0
"0","2019-05-24 09:05:00+00","594.935","594.935","594.93","594.93",0
"0","2019-05-24 09:06:00+00","594.94","594.945","594.94","594.945",0
"0","2019-05-24 09:07:00+00","595.1","595.105","595.1","595.105",0
"0","2019-05-24 09:08:00+00","595.33","595.33","595.328","595.328",0
